condition,food,warning,explanation
stroke,folic acid,safe,"The CSPPT (China Stroke Primary Prevention Trial) demonstrated a significant risk reduction of first stroke in hypertensive patients treated with enalapril plus folic acid compared with those with enalapril alone, but the lifetime stroke-free survival associated with the treatment is unknown."
noncommunicable diseases,trans-fatty acids,dangerous,"Pakistan is among the nations with a high intake of trans-fatty acids (TFAs), a major dietary risk factor of noncommunicable diseases (NCDs)."
degenerative diseases,dark tea,safe,Dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases.
cancer,garlic intake,safe,Numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.
alzheimer's disease,caffeic acid,safe,"Caffeic acid (CA) has shown neuroprotection in Alzheimer's disease or cerebral ischaemia; however, it is unclear whether CA confers neuroprotection in ÃÂÃÂÃÂÃÂ±-synuclein-induced PD models."
bladder cancer,fruit,safe,"Fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer."
inflammation,ginger,safe,Ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers.
pain,opioid drugs,safe,"Opioid drugs are widely used to treat chronic pain, but their misuse can lead to tolerance, dependence, and addiction and have created a significant public health problem."
Prediabetes,Beef,dangerous,Beef is high in fat/sugar and may worsen prediabetes.
allergies,peanut,dangerous,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.
hypercholesterolemia,diet,dangerous,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes."
Hypertension,raw vegetables,can worsen,raw vegetables with serving size 120.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
asthma,high fructose corn syrup sweetened soft drink,dangerous,High fructose corn syrup (HFCS) sweetened soft drink intake has been linked with asthma in US high-schoolers.
kidney stones,fruits,safe,Various human studies have suggested that diets with a higher intake of vegetables and fruits play a role in the prevention of kidney stones.
asthma,ginger,safe,"Curcumin, is a polyphenol from Curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in Ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and Alzheimer's."
respiratory diseases,protein-containing dust,dangerous,Influence of protein-containing dust on the workers results in respiratory diseases.
hypertension,whole milk,safe,"Calcium, bioactive peptides and as yet unidentified components in whole milk may protect from hypertension, and folic acid, vitamin B6 (pyridoxine) and B12 (cyanocobalamin) or other unidentified components of skim milk may contribute to low homocysteine levels."
pain,opioid drugs,safe,"Opioid drugs are widely used to treat chronic pain, but their misuse can lead to tolerance, dependence, and addiction and have created a significant public health problem."
malignancies,extra-virgin olive oil,safe,"Epidemiological studies have compellingly documented the ability of the Mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow the Alzheimer's disease progression."
urinary tract infections,vaccinium macrocarpon,safe,"Younger women will use botanicals for urinary tract infections, especially Vaccinium macrocarpon (cranberry), where there is evidence for efficacy."
infections,breast milk,safe,Breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.
Prediabetes,Sussages,can worsen,Sussages with serving size 100.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cancers,broccoli,safe,"Brassica species, and broccoli in particular, are associated with reduced risk of several important cancers."
caries,sugar,dangerous,"Many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption."
human diseases,extra virgin olive oil,safe,"Among the phenolic compounds extracted from extra virgin olive oil, oleocanthal (1) has attracted considerable attention in the modulation of many human diseases, such as inflammation and Alzheimer's disease (AD)."
kidney stones,beer consumed,safe,"Beer consumption was inversely associated with risk of kidney stones; each bottle of beer consumed per day was estimated to reduce risk by 40% (RR = 0.60, 95% CI 0.47-0.76)."
heart disease,fruits,safe,"Nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as well as other medical conditions."
Hypertension,egg,safe,egg may support balanced diet for hypertension.
stroke,morus alba,safe,Mulberry (Morus alba L.) leaves are widely used as herbal tea to prevent heat stroke.
Hypertension,Crackers,can worsen,Crackers with serving size 30.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
allergic reaction,wheat,dangerous,"Wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic symptoms."
Hypertension,fruit juice,safe,fruit juice is nutritious and may help manage hypertension.
Hypertension,Cereal,safe,Cereal may support balanced diet for hypertension.
arthritis,chicken eggshell membrane ( em ),safe,"It was hypothesized that chicken eggshell membrane (EM) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis."
diabetes,sfp,safe,"In short, this study demonstrated that SFP could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications."
Hypertension,egg omelet substitute,safe,egg omelet substitute may support balanced diet for hypertension.
Hypertension,Cheese,can worsen,Cheese with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
diabetes,3-hydroxyphenylpropionic acid,safe,"Epicatechin (EC) and main colonic phenolic acids derived from flavonoid intake, such as 2,3-dihydroxybenzoic acid (DHBA), 3,4-dihydroxyphenylacetic acid (DHPAA) and 3-hydroxyphenylpropionic acid (HPPA), have been suggested to exert beneficial effects in diabetes."
diabetes,ginger,safe,Recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.
Hypertension,fruit juice,safe,fruit juice is nutritious and may help manage hypertension.
chronic diseases,beans,safe,Beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.
Hypertension,shakes/drink mixes,can worsen,shakes/drink mixes with serving size 166.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
foodallergies,food additives,dangerous,"The article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity."
cognitive decline,red wine,safe,These effects have been related to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil.
Prediabetes,salad dressing,can worsen,salad dressing with serving size 14.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
chronic diseases,beer,safe,"In beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases."
