medicine,food,interaction,warning,explanation
omeprazole,red wine,safe,no major risk,Red wine with omeprazole generally poses no significant problem when consumed in moderation.
amlodipine,dosa,safe,no major risk,Dosa with amlodipine generally poses no significant problem when consumed in moderation.
clopidogrel,gulab jamun,safe,no major risk,Gulab jamun with clopidogrel generally poses no significant problem when consumed in moderation.
phenytoin,naan,safe,no major risk,Naan with phenytoin generally poses no significant problem when consumed in moderation.
metformin,multigrain roti,safe,no major risk,Multigrain roti with metformin generally poses no significant problem when consumed in moderation.
dabigatran,licorice,safe,no major risk,Licorice with dabigatran generally poses no significant problem when consumed in moderation.
atenolol,bhujia,safe,no major risk,Bhujia with atenolol generally poses no significant problem when consumed in moderation.
ranitidine,pulao,safe,no major risk,Pulao with ranitidine generally poses no significant problem when consumed in moderation.
ranitidine,dosa,safe,no major risk,Dosa with ranitidine generally poses no significant problem when consumed in moderation.
citalopram,rajma,safe,no major risk,Rajma with citalopram generally poses no significant problem when consumed in moderation.
amlodipine,dark chocolate,safe,no major risk,Dark chocolate with amlodipine generally poses no significant problem when consumed in moderation.
gliclazide,rasgulla,safe,no major risk,Rasgulla with gliclazide generally poses no significant problem when consumed in moderation.
omeprazole,french fries,safe,no major risk,French fries with omeprazole generally poses no significant problem when consumed in moderation.
bupropion,halwa,safe,no major risk,Halwa with bupropion generally poses no significant problem when consumed in moderation.
insulin,avocado,safe,no major risk,Avocado with insulin generally poses no significant problem when consumed in moderation.
amoxicillin,dried apricots,safe,no major risk,Dried apricots with amoxicillin generally poses no significant problem when consumed in moderation.
diphenhydramine,tomato,safe,no major risk,Tomato with diphenhydramine generally poses no significant problem when consumed in moderation.
fenofibrate,spring rolls,safe,no major risk,Spring rolls with fenofibrate generally poses no significant problem when consumed in moderation.
losartan,amla,safe,no major risk,Amla with losartan generally poses no significant problem when consumed in moderation.
rivaroxaban,mutton curry,safe,no major risk,Mutton curry with rivaroxaban generally poses no significant problem when consumed in moderation.
lisinopril,rajma,safe,no major risk,Rajma with lisinopril generally poses no significant problem when consumed in moderation.
lithium,peda,safe,no major risk,Peda with lithium generally poses no significant problem when consumed in moderation.
fexofenadine,momos,safe,no major risk,Momos with fexofenadine generally poses no significant problem when consumed in moderation.
pantoprazole,garlic,safe,no major risk,Garlic with pantoprazole generally poses no significant problem when consumed in moderation.
tranylcypromine,curd rice,safe,no major risk,Curd rice with tranylcypromine generally poses no significant problem when consumed in moderation.
sitagliptin,pulao,safe,no major risk,Pulao with sitagliptin generally poses no significant problem when consumed in moderation.
atenolol,green tea,safe,no major risk,Green tea with atenolol generally poses no significant problem when consumed in moderation.
fluconazole,grapefruit juice,safe,no major risk,Grapefruit juice with fluconazole generally poses no significant problem when consumed in moderation.
calcium supplements,paneer butter masala,safe,no major risk,Paneer butter masala with calcium supplements generally poses no significant problem when consumed in moderation.
rivaroxaban,pomegranate juice,safe,no major risk,Pomegranate juice with rivaroxaban generally poses no significant problem when consumed in moderation.
heparin,chips,safe,no major risk,Chips with heparin generally poses no significant problem when consumed in moderation.
carbamazepine,soy sauce,safe,no major risk,Soy sauce with carbamazepine generally poses no significant problem when consumed in moderation.
insulin,kheer,safe,no major risk,Kheer with insulin generally poses no significant problem when consumed in moderation.
citalopram,beer,safe,no major risk,Beer with citalopram generally poses no significant problem when consumed in moderation.
citalopram,dried apricots,safe,no major risk,Dried apricots with citalopram generally poses no significant problem when consumed in moderation.
glimepiride,sweet potato,safe,no major risk,Sweet potato with glimepiride generally poses no significant problem when consumed in moderation.
digoxin,coffee,safe,no major risk,Coffee with digoxin generally poses no significant problem when consumed in moderation.
amitriptyline,paratha,safe,no major risk,Paratha with amitriptyline generally poses no significant problem when consumed in moderation.
metformin,pomegranate juice,safe,no major risk,Pomegranate juice with metformin generally poses no significant problem when consumed in moderation.
tacrolimus,mango,safe,no major risk,Mango with tacrolimus generally poses no significant problem when consumed in moderation.
clopidogrel,potato,safe,no major risk,Potato with clopidogrel generally poses no significant problem when consumed in moderation.
tranylcypromine,bhujia,safe,no major risk,Bhujia with tranylcypromine generally poses no significant problem when consumed in moderation.
theophylline,bread,safe,no major risk,Bread with theophylline generally poses no significant problem when consumed in moderation.
pravastatin,jalebi,safe,no major risk,Jalebi with pravastatin generally poses no significant problem when consumed in moderation.
metformin,alcohol,dangerous,risk of lactic acidosis,Alcohol with metformin increases risk of lactic acidosis and liver stress.
lithium,orange juice,safe,no major risk,Orange juice with lithium generally poses no significant problem when consumed in moderation.
esomeprazole,leafy greens salad,safe,no major risk,Leafy greens salad with esomeprazole generally poses no significant problem when consumed in moderation.
lithium,spinach,safe,no major risk,Spinach with lithium generally poses no significant problem when consumed in moderation.
rosuvastatin,alcohol,safe,no major risk,Alcohol with rosuvastatin generally poses no significant problem when consumed in moderation.
pravastatin,carrot,safe,no major risk,Carrot with pravastatin generally poses no significant problem when consumed in moderation.
levetiracetam,paneer,safe,no major risk,Paneer with levetiracetam generally poses no significant problem when consumed in moderation.
citalopram,ice cream,safe,no major risk,Ice cream with citalopram generally poses no significant problem when consumed in moderation.
theophylline,fish curry,safe,no major risk,Fish curry with theophylline generally poses no significant problem when consumed in moderation.
esomeprazole,red wine,safe,no major risk,Red wine with esomeprazole generally poses no significant problem when consumed in moderation.
